Package Name,Release Date,Python Version,Downloads (Last Month)
numpy,2016-04-20T01:37:06,cp26,-1
pandas,2023-06-28T23:15:57,cp310,-1
matplotlib,2023-07-05T21:01:41,cp310,-1
requests,2016-04-29T21:57:23,2.7,-1
beautifulsoup4,2020-10-03T15:37:19,py2,-1
scikit-learn,2023-06-15T15:19:37,cp310,-1
tensorflow,2022-11-16T19:25:34,cp310,-1
flask,2023-05-01T15:42:08,py3,-1
django,2023-03-20T07:31:55,py3,-1
scipy,2022-10-20T00:42:06,cp310,-1
pillow,2023-04-01T09:28:03,cp310,-1
opencv-python,2023-06-30T12:27:12,cp37,-1
seaborn,2020-01-22T18:01:22,py2.py3,-1
sqlalchemy,2023-04-06T00:53:19,cp310,-1
plotly,2022-06-24T01:07:53,py2.py3,-1
nltk,2023-01-02T15:37:07,py3,-1
jupyter,2015-08-12T00:42:58,3.4,-1
pygame,2023-06-10T18:59:27,cp310,-1
sympy,2021-09-20T21:49:25,py3,-1
pytorch,2019-04-24T16:32:54,source,-1
pyqt5,2017-11-24T10:32:11,cp35.cp36.cp37,-1
networkx,2023-03-30T21:41:43,py3,-1
tweepy,2022-05-05T14:24:51,py3,-1
flask-restful,2021-05-17T19:23:14,3.8,-1
pyyaml,2021-10-04T19:44:04,cp310,-1
openpyxl,2022-05-19T15:36:19,py2.py3,-1
pyinstaller,2023-03-13T20:36:42,py3,-1
flask-login,2022-07-25T15:15:49,py3,-1
django-rest-framework,2017-07-20T17:14:33,source,-1
wtforms,2021-12-23T10:08:57,py3,-1
pytest,2023-06-23T11:17:25,py3,-1
pyodbc,2017-02-19T00:30:57,cp27,-1
docopt,2014-06-16T11:18:57,source,-1
pytest-cov,2023-05-24T18:44:54,py3,-1
pytz,2023-03-29T04:23:25,py2.py3,-1
boto3,2019-02-20T19:49:46,py2.py3,-1
pyglet,2022-10-31T02:03:56,py3,-1
paramiko,2023-05-25T18:12:29,py3,-1
bokeh,2023-06-22T16:53:55,py3,-1
django-crispy-forms,2023-02-02T22:02:07,py3,-1
pyjwt,2023-05-09T20:04:39,py3,-1
python-dateutil,2021-07-14T08:19:18,py2.py3,-1
pycrypto,2014-06-20T08:10:20,source,-1
scrapy,2023-05-08T10:55:39,py2.py3,-1
tqdm,2016-10-31T16:24:19,py2.py3,-1
pyserial,2020-09-21T01:26:30,py2.py3,-1
sphinx,2023-05-12T21:52:05,py3,-1
flask-wtf,2023-01-17T19:26:56,py3,-1
opencv-python-headless,2023-06-30T12:27:29,cp37,-1
plotly-geo,2019-07-09T10:42:39,py3,-1
